district,estimated_eligible_population,enrolled_beneficiaries,coverage_pct,rejected_applications,appeals,annual_cost_current_inr,annual_cost_proposed_inr
Ariyalur,18000,13680,76.0,120,20,164160000,410400000
Chengalpattu,18431,15298,83.0,133,31,183576000,458940000
Chennai,18862,16976,90.0,146,42,203712000,509280000
Coimbatore,19293,14856,77.0,159,53,178272000,445680000
Cuddalore,19724,16568,84.0,172,64,198816000,497040000
Dharmapuri,20155,18341,91.0,185,75,220092000,550230000
Dindigul,20586,16057,78.0,198,86,192684000,481710000
Erode,21017,17864,85.0,211,97,214368000,535920000
Kallakurichi,21448,19732,92.0,224,108,236784000,591960000
Kancheepuram,21879,17284,79.0,237,119,207408000,518520000
Karur,22310,19187,86.0,250,130,230244000,575610000
Krishnagiri,22741,21149,93.0,263,141,253788000,634470000
Madurai,23172,18538,80.0,276,152,222456000,556140000
Mayiladuthurai,23603,20535,87.0,289,163,246420000,616050000
Nagapattinam,24034,22592,94.0,302,174,271104000,677760000
Namakkal,24465,19817,81.0,315,185,237804000,594510000
Nilgiris,24896,21908,88.0,328,196,262896000,657240000
Perambalur,25327,24061,95.0,341,207,288732000,721830000
Pudukkottai,25758,21122,82.0,354,218,253464000,633660000
Ramanathapuram,26189,23308,89.0,367,229,279696000,699240000
Ranipet,26620,20231,76.0,380,30,242772000,606930000
Salem,27051,22452,83.0,393,41,269424000,673560000
Sivaganga,27482,24734,90.0,406,52,296808000,742020000
Tenkasi,27913,21493,77.0,419,63,257916000,644790000
Thanjavur,28344,23809,84.0,432,74,285708000,714270000
Theni,28775,26185,91.0,445,85,314220000,785550000
Thoothukudi,29206,22781,78.0,458,96,273372000,683430000
Tiruchirappalli,29637,25191,85.0,471,107,302292000,755730000
Tirunelveli,30068,27663,92.0,484,118,331956000,829890000
Tirupathur,30499,24094,79.0,497,129,289128000,722820000
Tiruppur,30930,26600,86.0,510,140,319200000,798000000
Tiruvallur,31361,29166,93.0,523,151,349992000,874980000
Tiruvarur,31792,25434,80.0,536,162,305208000,763020000
Vellore,32223,28034,87.0,549,173,336408000,841020000
Viluppuram,32654,30695,94.0,562,184,368340000,920850000
Virudhunagar,33085,26799,81.0,575,195,321588000,803970000
Kanyakumari,33516,29494,88.0,588,206,353928000,884820000
Tiruvannamalai,33947,32250,95.0,601,217,387000000,967500000
